kepid,kepoi_name,koi_disposition,koi_score
10797460,K00752.01,CONFIRMED,1.0000
10797460,K00752.02,CONFIRMED,0.9690
10811496,K00753.01,CANDIDATE,0.0000
10848459,K00754.01,FALSE POSITIVE,0.0000
10854555,K00755.01,CONFIRMED,1.0000
10872983,K00756.01,CONFIRMED,1.0000
10872983,K00756.02,CONFIRMED,1.0000
10872983,K00756.03,CONFIRMED,0.9920
6721123,K00114.01,FALSE POSITIVE,0.0000
10910878,K00757.01,CONFIRMED,1.0000
11446443,K00001.01,CONFIRMED,0.8110
10666592,K00002.01,CONFIRMED,1.0000
6922244,K00010.01,CONFIRMED,0.9980
10984090,K00112.02,CONFIRMED,1.0000
10419211,K00742.01,FALSE POSITIVE,0.0000
10464078,K00743.01,FALSE POSITIVE,0.0000
10480982,K00744.01,FALSE POSITIVE,0.0000
10485250,K00745.01,FALSE POSITIVE,0.0000
10526549,K00746.01,CONFIRMED,1.0000
10583066,K00747.01,CONFIRMED,1.0000
10583180,K00748.01,FALSE POSITIVE,0.0000
10601284,K00749.01,CONFIRMED,1.0000
10601284,K00749.02,CONFIRMED,0.9800
10601284,K00749.03,CONFIRMED,0.9710
2306756,K00113.01,FALSE POSITIVE,
10662202,K00750.01,CONFIRMED,1.0000
10682541,K00751.01,CONFIRMED,1.0000
11460018,K00769.01,CONFIRMED,1.0000
11463211,K00770.01,FALSE POSITIVE,0.0000
11465813,K00771.01,FALSE POSITIVE,0.0000
11493732,K00772.01,FALSE POSITIVE,0.0000
11507101,K00773.01,CONFIRMED,1.0000
10910878,K00757.02,CONFIRMED,0.9920
10910878,K00757.03,CONFIRMED,1.0000
10987985,K00758.01,CONFIRMED,1.0000
11018648,K00759.01,CONFIRMED,1.0000
11018648,K00759.02,CONFIRMED,0.9780
11138155,K00760.01,CONFIRMED,1.0000
11152159,K00761.01,FALSE POSITIVE,0.0000
11153539,K00762.01,CONFIRMED,1.0000
11242721,K00763.01,FALSE POSITIVE,0.0000
9579641,K00115.01,CONFIRMED,1.0000
11304958,K00764.01,CONFIRMED,0.9980
11391957,K00765.01,CONFIRMED,1.0000
11403044,K00766.01,CONFIRMED,1.0000
11414511,K00767.01,CONFIRMED,1.0000
11442465,K00768.01,FALSE POSITIVE,0.0000
12110942,K00786.01,CONFIRMED,1.0000
12366084,K00787.01,CONFIRMED,1.0000
12366084,K00787.02,CONFIRMED,1.0000
12404086,K00788.01,CONFIRMED,1.0000
8395660,K00116.01,CONFIRMED,1.0000
9579641,K00115.02,CONFIRMED,1.0000
11656840,K00774.01,FALSE POSITIVE,0.0140
11754553,K00775.01,CONFIRMED,1.0000
11754553,K00775.02,CONFIRMED,1.0000
11754553,K00775.03,CONFIRMED,1.0000
11812062,K00776.01,CONFIRMED,1.0000
11818800,K00777.01,CANDIDATE,0.9990
11853255,K00778.01,CONFIRMED,1.0000
11909839,K00779.01,FALSE POSITIVE,0.0000
11918099,K00780.01,CONFIRMED,1.0000
11918099,K00780.02,CANDIDATE,0.9930
9579641,K00115.03,CANDIDATE,0.8710
11923270,K00781.01,CONFIRMED,1.0000
11960862,K00782.01,CONFIRMED,1.0000
12020329,K00783.01,CONFIRMED,1.0000
12066335,K00784.01,CONFIRMED,1.0000
12066335,K00784.02,CONFIRMED,1.0000
12070811,K00785.01,CONFIRMED,1.0000
8395660,K00116.02,CONFIRMED,0.9980
3120431,K00798.01,FALSE POSITIVE,0.0000
3246984,K00799.01,FALSE POSITIVE,0.7730
3342970,K00800.01,CONFIRMED,1.0000
3342970,K00800.02,CONFIRMED,1.0000
12459725,K00789.01,FALSE POSITIVE,
12470844,K00790.01,CONFIRMED,1.0000
12470844,K00790.02,CONFIRMED,0.9890
12644822,K00791.01,CONFIRMED,1.0000
2440757,K00792.01,FALSE POSITIVE,0.0000
2445129,K00793.01,FALSE POSITIVE,0.0000
2713049,K00794.01,CONFIRMED,1.0000
3114167,K00795.01,CONFIRMED,1.0000
3114661,K00796.01,FALSE POSITIVE,0.0000
3115833,K00797.01,CANDIDATE,1.0000
4139816,K00812.02,CONFIRMED,1.0000
4139816,K00812.03,CONFIRMED,1.0000
8395660,K00116.04,CONFIRMED,0.9520
4139816,K00812.04,CONFIRMED,0.9940
4275191,K00813.01,CONFIRMED,1.0000
4476123,K00814.01,CONFIRMED,0.9990
3351888,K00801.01,CONFIRMED,1.0000
3453214,K00802.01,CANDIDATE,1.0000
3554600,K00803.01,FALSE POSITIVE,0.0000
3641726,K00804.01,CONFIRMED,1.0000
3734868,K00805.01,FALSE POSITIVE,0.0530
3832474,K00806.01,CONFIRMED,1.0000
8395660,K00116.03,CONFIRMED,0.9500
3832474,K00806.02,CONFIRMED,0.7450
3832474,K00806.03,CONFIRMED,
3836375,K00807.01,FALSE POSITIVE,0.0000
3838486,K00808.01,FALSE POSITIVE,0.0000
3935914,K00809.01,CONFIRMED,1.0000
3940418,K00810.01,CONFIRMED,1.0000
4049131,K00811.01,CONFIRMED,1.0000
4139816,K00812.01,CONFIRMED,1.0000
5287983,K00828.01,FALSE POSITIVE,0.0000
5358241,K00829.01,CONFIRMED,1.0000
10875245,K00117.02,CONFIRMED,1.0000
5358241,K00829.02,CONFIRMED,0.9980
5358241,K00829.03,CONFIRMED,1.0000
5358624,K00830.01,CONFIRMED,0.9900
4544670,K00815.01,CANDIDATE,1.0000
4664847,K00816.01,CONFIRMED,1.0000
4725681,K00817.01,CONFIRMED,1.0000
4725681,K00817.02,CONFIRMED,0.9950
4913852,K00818.01,CONFIRMED,1.0000
4932348,K00819.01,FALSE POSITIVE,0.0000
4936180,K00820.01,CANDIDATE,0.0000
11913073,K00011.01,FALSE POSITIVE,0.0000
10875245,K00117.01,CONFIRMED,0.9920
5021899,K00821.01,CONFIRMED,1.0000
5077629,K00822.01,FALSE POSITIVE,0.0000
5115978,K00823.01,CANDIDATE,
5164255,K00824.01,CONFIRMED,1.0000
5252423,K00825.01,CONFIRMED,1.0000
5252423,K00825.02,CONFIRMED,1.0000
